Año,Ingresos_TV_suscripcion_miles,Ingresos_TV_satelital_miles
2014,16788189.630030006,9559850.2109
2015,23237736.040890016,13293056.32089
2016,31301717.896270018,18140521.195919998
2017,41950801.58168043,23965434.85646107
2018,55044516.98893836,31393582.898539472
2019,78941878.75076,41800883.98868
2020,101477728.51415008,52310312.75496001
2021,140270928.12313998,72154388.2747
2022,203268298.94267,101621888.89554
2023,399074953.48,187984185.97
2024,190787199.53,94270533.93
