Año,Buenos Aires,Capital Federal,Catamarca,Chaco,Chubut,Corrientes,Córdoba,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán
2014,14.889859881699298,22.65766198602991,6.449828028329534,7.74912701838303,12.317663067412763,7.795805200049818,24.3525212068965,10.695736419295416,7.388341004107539,10.077805641674003,22.22487827123082,6.971084237669088,6.120275736408613,9.408518384187198,23.3503945456541,7.782421433268542,11.840166696330643,5.81455843857132,9.719263485631712,12.475758081709714,18.570079228578678,10.508965339972793,22.67707552837461,7.497018518577413
2015,15.059682720174532,23.050808917491498,7.247571775910505,8.016591133142816,12.126447730022825,8.615011169942903,27.569335479281342,11.615257129667818,8.004790677600345,11.539957129901893,24.590518749125508,6.926723012661531,6.189848484607418,9.842859616998165,17.944194789792576,8.204733614356808,12.76194065390947,5.93128306171249,11.56778300035058,17.05640795209521,17.975584924586435,10.679891218267056,23.99535179920823,7.670031854291414
2016,14.95872309081306,23.431388156471037,7.408380295399298,7.879850967749193,12.40285142328726,8.592288935876851,27.90116704653213,11.629320286641555,7.928992463403202,11.419681430251092,26.77062661940952,6.632714633969733,6.1045622940203295,10.153074867420374,17.642674396602306,7.695058824857259,12.765297608216125,5.579521009032921,11.255374940968856,15.801034297524424,17.936447792773123,10.528014335221172,24.6407554837102,7.800968220165655
2017,15.263446374777224,23.421490976598243,8.671288197685474,7.944525591670043,12.192155178813106,8.843117588730978,28.168982856913836,12.945930645809682,8.26609832429466,11.417249657975502,27.576871678781345,6.362035337029092,5.932468541729596,10.357416525783927,16.02260874884535,9.019333573967504,15.663925848787752,5.391208963673897,12.12465953329858,14.666191069392651,17.854245443189846,10.258308186744166,24.518294331584677,9.201905122845199
2018,15.529005453089816,24.369533213861736,17.414411143974345,8.83558621449174,13.68856611999182,9.298895909143187,29.528735103187802,15.371820044643785,9.377081588303753,12.230900942702704,23.478305761047714,6.22491626776327,5.284633375643801,10.992386732988482,12.216439844229853,12.491035883382766,12.548288100828973,5.688480881971632,11.581876454892777,15.818401782623647,17.721995271548725,10.609207073771284,26.315299842360588,7.367044408057014
2019,15.733285458317136,27.330921706559103,8.982977142219426,9.250060096074023,13.081168264556934,9.638795131750513,29.126043523610452,15.624393065116724,9.828835020425268,11.895442954865727,23.071690013356967,5.849895590077455,6.17341132817198,11.357946128101265,11.947721314508179,14.246352593738319,13.105199854116204,4.779178253744788,10.210475181349965,14.390513430854451,17.922973829248697,10.26708761675581,26.00421520210429,6.856336796139655
2020,16.806226002798397,24.212032744128535,9.771139865390548,9.753185670760873,10.92137006942389,9.978385890486354,28.760856811577135,16.057912479361605,9.840161111149172,13.430695989290067,22.280422405481154,5.17470924852626,5.238971427606355,11.13366086715033,11.94387461517476,14.886325558756152,13.98588443531169,4.185172481931971,9.101679172682058,12.01616340092563,19.21103066411609,9.271254630248928,24.228869219399748,6.3223172712975
2021,16.704340797070106,24.146995608844094,10.379601913336783,9.62597624022609,11.848222021110027,10.124902409200622,28.832805259736038,16.395847003328527,10.432232344866973,13.773931804328969,22.353838383881662,5.406832955924304,5.505132053917939,10.94589274913907,11.559002081932165,14.693724391803261,14.710485712289481,4.276878588350209,8.93780631549979,11.36833924379059,20.57128604219986,17.772555249465796,23.76558477403387,6.5309422341295
2022,16.684539683822326,24.115436312141917,12.178699025427651,9.923421047793742,12.403211059812179,11.787941972640732,29.64638606079391,16.349579756890762,11.010081281752278,14.509647962844257,21.629421419253273,5.95693099820164,6.395748441929985,11.048299950778011,11.065270615895642,13.797601575314827,14.742119274742858,4.724141234601446,9.1004523794837,10.59689081522253,21.01362116629174,14.990291252181326,23.76511254250806,7.511903933259048
2023,16.91,24.509999999999998,12.73,9.715,12.0075,12.045,29.9625,16.9025,12.33,15.305,22.3575,6.7625,6.97,10.8325,11.0825,13.29,14.8775,5.295,9.412500000000001,10.1025,20.725,15.4,24.35,7.8100000000000005
2024,16.53,22.88,11.93,9.37,11.89,10.87,28.89,17.93,15.35,15.06,21.73,5.66,6.8,10.07,9.41,12.29,14.95,4.74,11.36,10.01,19.35,14.59,24.17,7.4
